Model,CV_Accuracy,Test_Accuracy,Precision,Recall,F1_Score
Random Forest,0.9555555555555556,1.0,1.0,1.0,1.0
XGBoost,0.9688888888888889,0.9473684210526315,0.9722222222222222,0.95,0.957516339869281
LightGBM,0.9733333333333333,0.9473684210526315,0.9722222222222222,0.95,0.957516339869281
SVM,0.8000000000000002,0.8947368421052632,0.9222222222222222,0.9,0.9075163398692812
Logistic Regression,0.7733333333333333,0.9473684210526315,0.9722222222222222,0.95,0.957516339869281
Ensemble,0.965925925925926,0.9473684210526315,0.9722222222222222,0.95,0.957516339869281
